-64	49
13	39
-19	-34
-96	28
58	22
51	0
99	-65
36	-93
-7	9
91	-68
-82	57
-22	22
56	8
42	26
60	-35
-88	31
-87	54
-49	-44
-12	-27
-71	-40
-10	-29
-68	36
76	0
-23	-32
39	1
37	-73
-6	-48
-24	50
-49	-82
-37	-22
-34	-3
-90	38
-7	-14
-37	70
-63	-41
60	46
-66	-49
79	83
-98	20
-69	-72
70	90
82	21
91	75
-70	-63
26	48
-75	13
8	-73
26	88
-55	29
-14	-18
-92	-22
-67	0
70	-92
-34	-13
84	24
-43	98
-78	-55
23	-19
81	98
-35	98
-91	49
97	-66
-34	-10
-92	2
83	-8
-91	-65
12	63
45	-62
-86	62
16	-66
-15	28
54	36
-6	-27
54	82
-20	-99
-3	-27
-46	64
61	25
-36	42
-41	-7
94	2
-1	-52
93	-83
-41	77
-47	-36
-75	37
77	-26
81	61
42	-15
-34	83
63	62
42	-42
-64	-33
66	61
15	5
10	-18
89	14
-33	-5
-35	-18
98	-28
